categoria,material,quantidade,observacoes
Q30,TRELIÇA 10CM,21,nan
Q30,TRELIÇA 20CM,94,nan
Q30,TRELIÇA 30CM,82,nan
Q30,TRELIÇA 40CM,67,nan
Q30,TRELIÇA 50CM,71,nan
Q30,TRELIÇA 60CM,16,nan
Q30,TRELIÇA 1M,113,nan
Q30,TRELIÇA 1.35M,5,nan
Q30,TRELIÇA 1.5M,133,nan
Q30,TRELIÇA 1.60M,17,nan
Q30,TRELIÇA 2M,220,nan
Q30,TRELIÇA 2.5M,13,nan
Q30,TRELIÇA 2.90M,11,nan
Q30,TRELIÇA 3M,248,nan
Q30,TRELIÇA 4M,224,nan
Q30,TRELIÇA 5M,300,nan
Q30,TRELIÇA 6M,18,nan
Q30,CUBO,412,nan
Q30,SLEEVE,88,nan
Q30,BASE,93,nan
Q30,ÂNGULO,137,nan
Q30,ÂNGULO 15º,48,nan
Q30,CUMIEIRA,80,nan
Q30,TRIÂNGULO,20,nan
Q30,PAU DE CARGA,93,nan
Q30,ARCO,48,nan
Q30,CUMIEIRA NATAL,28,nan
Q30,GRAU 15,56,nan
Q15,TRELIÇA 50CM,8,nan
Q15,TRELIÇA 1M,8,nan
Q15,TRELIÇA 1.5M,6,nan
Q15,TRELIÇA 2M,7,nan
Q15,TRELIÇA 3M,10,nan
Q15,CUBO,18,nan
Q15,BASE,10,nan
Q25,TRELIÇA 2M,15,nan
Q25,TRELIÇA 1.5M,6,nan
Q25,TRELIÇA 1M,9,nan
Q25,CUBO,5,nan
Q25,BASE PQ.,4,nan
Q25,BASE G,2,nan
Q50,TRELIÇA 1M,17,nan
Q50,TRELIÇA 2M,14,nan
Q50,TRELIÇA 3M,22,nan
Q50,TRELIÇA 4M,6,nan
Q50,CUBO,12,nan
Q50,CUBO C/ FACE Q30,6,nan
Q50,CUMIEIRA,4,nan
Q50,CUMIEIRA C/ FACE Q30,3,nan
PISO,TABLADO,965,nan
PISO,PRATICÁVEL,141,nan
PISO,FEELING,1506,nan
PISO,EASYFLOOR,1657,nan
PISO,EASYFLOOR ROLO 1.5X10,41,nan
PISO QUADRO,QUADRO,106,nan
PISO QUADRO,MÃO FRANCESA G.,41,nan
PISO QUADRO,MÃO FRANCESA M.,151,nan
PISO QUADRO,MÃO FRANCESA P.,330,nan
PISO QUADRO,REGULAD. ALTURA,210,nan
PISO QUADRO,ALONGADOR,180,nan
PISO QUADRO,TRAVA ALONGADOR,305,nan
PISO QUADRO,ESCADA,1,nan
PISO QUADRO,GUARDA CORPO ESC.,2,nan
GAURDA CORPO,FERRO 2M,40,nan
GAURDA CORPO,FERRO 1M,5,nan
GAURDA CORPO,ALUMINIO 2M,22,nan
GAURDA CORPO,ALUMINIO 1M,1,nan
PISO FEELING,POSTE 2 ORELHAS,61,nan
PISO FEELING,POSTE 3 ORELHAS,34,146 NOVO
PISO FEELING,TRAVESSA 2.5,860,160 NOVO
PISO FEELING,TRAVESSA 1.25,530,100 NOVO
PISO FEELING,GAURDACORPO 2.5,63,64 NOVO
PISO FEELING,MÃO FRANCESA,177,200 NOVO
PISO FEELING,TRAVA MÃO FRANC.,328,400 NOVO
PISO FEELING,PE DE 20 CM,90,50 NOVO
PISO FEELING,PE DE 40 CM,82,50 NOVO
PISO FEELING,PE DE 70 CM,78,50 NOVO
PISO FEELING,PE DE 1.35,295,60 NOVO
PISO FEELING,TRAVESSA RAMPA G.,10,nan
PISO FEELING,TRAVESSA RAMPA P.,3,nan
PISO FEELING,PONTA RAMPA,2,nan
PISO FEELING,TRAVA PÉ,440,30 NOVO
PISO FEELING,ESCADA 2M FEELING,2,nan
GAURDA CORPO,FERRO 2M,40,nan
GAURDA CORPO,FERRO 1M,5,nan
GAURDA CORPO,ALUMINIO 2M,22,nan
GAURDA CORPO,ALUMINIO 1M,1,nan
TENDAS NOVAS,TENDA 3X3 C/ BALCÃO,50,nan
TENDAS NOVAS,TENDA 4X4,20,nan
TENDAS NOVAS,TENDA 5X5,20,nan
TENDAS NOVAS,TENDA 6X6,20,nan
TENDAS NOVAS,TENDA 8X8,20,nan
TENDAS NOVAS,TENDA 10X10,20,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 3X3,5,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 4X4,21,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 5X5,14,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 6X6,19,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 8X8,10,nan
TENDA ANTIGA C/ LONA NOVA,TENDA 10X10,10,nan
FECHAMENTO,FECHAMENTO 3X2.5,32,nan
FECHAMENTO,FECHAMENTO 4X2.5,32,nan
FECHAMENTO,FECHAMENTO 5X3,32,nan
FECHAMENTO,FECHAMENTO 6X3,20,nan
FECHAMENTO,FECHAMENTO 8X3,20,nan
FECHAMENTO,FECHAMENTO 10X3,40,nan
CALHA,CALHA 3M,20,nan
CALHA,CALHA 4M,40,nan
CALHA,CALHA 5M,40,nan
CALHA,CALHA 6M,20,nan
CALHA,CALHA 8M,30,nan
CALHA,CALHA 10M,40,nan
LONA GALPÃO,LONA GALPÃO 10X5,0,7 RETAS E 2 TRIÂNGULOS NOVOS
LONA GALPÃO,LONA GALPÃO 15X5,8,nan
LONA GALPÃO,LONA GALPÃO CRISTAL 10X5,20,nan
LONA PALCO,6X6,4,nan
LONA PALCO,8X8,5,nan
LONA PALCO,9X6,3,nan
LONA PALCO,10X8,8,nan
LONA PALCO,12X10,3,nan
LONA PALCO,14X10,2,nan
LONA PALCO,18X14,2,nan
LONA PALCO,5X5 (1 ÁGUA),23,SENDO 4 PONTAS
OUTROS,TALHA,84,nan
OUTROS,CINTA CARGA,94,nan
OUTROS,BARRICADA,90,nan
OUTROS,UNIFILA,18,nan
OUTROS,FITA 9M/15M/17M,380,24/15MT E 30/17MT - 150/9MT
OUTROS,CATRACA,430,54 P/15 E 17MT - 150/P 9MT
OUTROS,MESA PLAST.,99,nan
OUTROS,CADEIRA PLAST.,497,nan
OUTROS,PESO 100 KG,20,nan
OUTROS,CABO AÇO 16.5M,22,nan
OUTROS,CABO AÇO 12 M,64,48 NOVO
OUTROS,CABO AÇO 3M,30,nan
OUTROS,CABO AÇO 9.35M,36,NOVO
OUTROS,CABO AÇO 4M,48,NOVO
OUTROS,GALÃO 60LT,90,nan
OUTROS,BALCÃO FRENTE,49,nan
OUTROS,BALCÃO LATERAL,100,nan
OUTROS,TRAVESSA BALCÃO,100,nan
OUTROS,SAIA BALCÃO 9M,30,nan
OUTROS,OLHAL,200,nan
OUTROS,RESERVATÓRIO,76,nan
OUTROS,PARAFUSO Q30,5300,nan
OUTROS,RAMPA FERRO 10CM,3,nan
OUTROS,RAMPA MADEIRA 10CM,5,nan
OUTROS,RAMPA MADEIRA 20CM,2,nan
OUTROS,RAMPA MADEIRA 35CM,2,nan
OUTROS,RAMPA MADEIRA 40CM,2,nan
OUTROS,RAMPA MADEIRA 50CM,2,nan
OUTROS,RAMPA MADEIRA 60CM,2,nan
OUTROS,ESCADA 2M FEELING,2,nan
OUTROS,ESCADA MADEIRA 50 CM,5,nan
OUTROS,ESCADA MADEIRA 55 CM,2,nan
OUTROS,ESCADA MADEIRA 60 CM,3,nan
OUTROS,ESCADA MADEIRA 70 CM,2,nan
OUTROS,ESCADA MADEIRA 1M,3,nan
OUTROS,ESCADA MADEIRA 1.5M,2,nan
OUTROS,ESCADA APOIAR 60 CM,1,nan
OUTROS,ESCADA APOIAR 1M,3,nan
OUTROS,ESCADA APOIAR 1.5M,3,nan
OUTROS,ESCADA FERRO 50 CM,1,nan
OUTROS,ESCADA FERRO 80 CM,3,nan
OUTROS,ESCADA 20 A 1.80 CM,1,nan
OUTROS,DEGRAU MADEIRA 20 CM,3,nan
OUTROS,TAPADEIRA,97,nan
ALMOXARIFADO,ENCERADEIRA,3,nan
ALMOXARIFADO,CAPACETE,40,nan
ALMOXARIFADO,CINTO + TALABARTE,20,nan
ALMOXARIFADO,PARAFUSADEIRA DEWALT,14,nan
ALMOXARIFADO,BATERIA,15,nan
ALMOXARIFADO,CARREGADOR,9,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 8""",1,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 11""",2,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 13""",8,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 14""",8,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 17""",8,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 19""",1,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 22""",7,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 24""",11,nan
ALMOXARIFADO,"SOQUETE SEXTAVADO 27""",11,nan
ALMOXARIFADO,"MARTELETE(DEWALT) + BROCA 1""",1,nan
ALMOXARIFADO,ROCAMA STANLEY,7,nan
ALMOXARIFADO,ALICATE UNIVERSAL,2,nan
ALMOXARIFADO,ALICATE DE CORTE,2,nan
ALMOXARIFADO,TRENA 3MT,1,nan
ALMOXARIFADO,TRENA C/RODA,1,nan
ALMOXARIFADO,NÍVEL LASER,1,nan
ALMOXARIFADO,MARTELO,2,nan
ALMOXARIFADO,CHAVE PHILIPS,2,nan
ALMOXARIFADO,CHAVE FENDA,2,nan
ALMOXARIFADO,TORQUESA,4,nan
ALMOXARIFADO,"CHAVE FREZADA 6""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 7""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 10""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 11""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 12""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 13""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 14""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 15""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 17""",4,nan
ALMOXARIFADO,"CHAVE FREZADA 18""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 19""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 22""",2,nan
ALMOXARIFADO,"CHAVE FREZADA 24""",1,nan
ALMOXARIFADO,"CHAVE FREZADA 27""",2,nan
ALMOXARIFADO,"CHAVE L 11""",3,nan
ALMOXARIFADO,MARRETA BORRACHA,3,nan
ALMOXARIFADO,KIT SERRA COPO,1,nan
ALMOXARIFADO,PÉ DE CABRA,3,nan
